!CSV A.01.01
!Agilent Technologies,N5224A,MY51441013,A.09.40.06
!Agilent N5224A: A.09.40.06
!Date: Monday, July 02, 2018 12:03:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
39500000,-0.0040865149,-3.4979501
40000000,-0.0041100536,-3.537467
40500000,-0.0056466083,-3.5820692
41000000,-0.0012459592,-3.6460674
41500000,-0.0013964936,-3.6655591
42000000,-0.0034327488,-3.7217736
42500000,-0.0030350685,-3.7432499
43000000,-0.001796428,-3.8044226
43500000,-0.0018174314,-3.8261132
44000000,-0.0036889361,-3.8923724
44500000,-0.0026548076,-3.924155
45000000,-0.0025084191,-3.9774544
45500000,-0.00096360821,-4.0146098
46000000,-0.0017886175,-4.0668468
46500000,-0.001604032,-4.1146603
47000000,-0.0017596524,-4.1541376
47500000,-0.0030857178,-4.1980057
48000000,-0.00078080973,-4.2384539
48500000,-0.0019552915,-4.2989383
49000000,-0.00064675725,-4.3326139
49500000,-0.0013724633,-4.3660073
50000000,-0.0015087577,-4.4128923
50500000,-0.0033627332,-4.4692159
51000000,-0.0025018835,-4.5006323
51500000,-0.0040020389,-4.5438099
52000000,-0.0038581335,-4.5875449
52500000,-0.002626783,-4.6486387
53000000,-0.0039523095,-4.6813679
53500000,-0.0053725876,-4.7550368
54000000,-0.0031163758,-4.7668447
54500000,-0.0035297254,-4.8201032
55000000,-0.0023972101,-4.8643765
55500000,-0.00023378228,-4.8967338
56000000,-0.0039697466,-4.9288855
56500000,0.0023295523,-5.0057845
57000000,-0.0023118113,-5.0299659
57500000,-0.0024829502,-5.0661025
58000000,-0.0023727661,-5.116641
58500000,-0.0030573397,-5.167201
59000000,0.0014878341,-5.2116246
59500000,-0.0026173128,-5.2840085
60000000,-0.002979476,-5.2840328
60500000,-0.00040258019,-5.3542619
61000000,-0.0052344534,-5.3887835
61500000,-0.0042726272,-5.439034
62000000,-0.0078107133,-5.4690809
62500000,-0.0024004008,-5.5729566
63000000,-0.0024366195,-5.5613151
63500000,-0.0017695207,-5.6107988
64000000,-0.0056005837,-5.6057529
64500000,-0.00060962269,-5.7086444
65000000,0.00080950034,-5.7411156
65500000,-0.0034439,-5.7774019
66000000,-0.004244545,-5.8252344
66500000,0.0027466442,-5.8825383
67000000,-0.0051267939,-5.9235463
67500000,-0.0067706634,-5.9755092
68000000,-0.0029551906,-6.017714
68500000,-0.010089652,-6.039515
69000000,-0.0061324653,-6.0715213
69500000,-0.0013769632,-6.1550403
70000000,-0.0039241854,-6.1776805
70500000,-0.0021891866,-6.2313356
71000000,-0.0027795653,-6.2609673
71500000,-0.0094991876,-6.3235497
72000000,-0.0037144523,-6.3722515
72500000,-0.0028775898,-6.3991232
73000000,-0.0051392401,-6.4206629
73500000,0.0007270996,-6.4576645
74000000,-0.0051293862,-6.5069561
74500000,-0.0044708336,-6.5680323
75000000,-0.0032103427,-6.608726
75500000,-0.0030059784,-6.6651812
76000000,-0.0060423105,-6.6822033
76500000,-0.0052981749,-6.7652569
77000000,-0.0061928099,-6.7748857
77500000,-0.0040853592,-6.836524
78000000,-0.0052230679,-6.8524451
78500000,-0.0065149912,-6.9176769
79000000,-0.0030619393,-6.9619131
79500000,-0.0044054925,-7.0025039
80000000,-0.0072825206,-7.0374355
80500000,-0.0036501216,-7.0978274
81000000,-0.0045555225,-7.1339722
81500000,-0.0040080268,-7.1547084
82000000,-0.0021167977,-7.209878
82500000,-0.0020305861,-7.2741842
83000000,-0.0036823761,-7.3189526
83500000,-0.0071452418,-7.351985
84000000,-0.0047490313,-7.3716969
84500000,-0.0050523123,-7.4519677
85000000,-0.0036790892,-7.4931273
85500000,-0.0067842733,-7.5290771
86000000,-0.0016243324,-7.5701013
86500000,-0.0043168929,-7.6274705
87000000,-0.0034945556,-7.6484613
87500000,-0.0038704867,-7.7149343
88000000,-0.0031743054,-7.7449822
88500000,-0.003126285,-7.7922401
89000000,-0.0035322933,-7.8350697
89500000,-0.0047233663,-7.873476
90000000,-0.0032018004,-7.8969574
90500000,-0.0043475381,-7.9691696
91000000,-0.0042464663,-8.0086823
91500000,-0.0025630705,-8.0573921
92000000,-0.0035834727,-8.0931492
92500000,-0.0049431901,-8.1345253
93000000,-0.0043489137,-8.182168
93500000,-0.0049886778,-8.2454901
94000000,-0.0044158492,-8.2850266
94500000,-0.0034743925,-8.3011017
95000000,-0.0052538584,-8.3623114
95500000,-0.0058444939,-8.4044333
96000000,-0.0049912198,-8.4614363
96500000,-0.0036073294,-8.4854946
97000000,-0.0082224403,-8.5332518
97500000,-0.0047871713,-8.578064
98000000,-0.004062491,-8.6155348
98500000,-0.0042908858,-8.6708527
99000000,-0.0077942787,-8.707077
99500000,-0.005641446,-8.7546291
100000000,-0.0058240201,-8.8071852
100500000,-0.0043055974,-8.8536959
101000000,-0.0042219344,-8.8890028
101500000,-0.0065098726,-8.9325686
102000000,-0.0063004331,-8.9808912
102500000,-0.0053815488,-9.0183535
103000000,-0.0044976249,-9.0880871
103500000,-0.0071667018,-9.1096706
104000000,-0.0050895186,-9.154171
104500000,-0.0045196069,-9.1901436
105000000,-0.005615348,-9.2468624
105500000,-0.0056712176,-9.285965
106000000,-0.0056613698,-9.3243408
106500000,-0.0069081066,-9.3732462
107000000,-0.0032967222,-9.4266577
107500000,-0.0026996171,-9.464426
108000000,-0.0061022844,-9.5117006
108500000,-0.005039427,-9.5564156
109000000,-0.0046304963,-9.5967426
109500000,-0.0020481611,-9.6381712
110000000,-0.005160965,-9.6845503
END

